City;Title;Description;Type;Comments;lat;lng
Kioto;Imakumano Kannon-ji Temple;;Templos;8:00 - 17:00;34.9822563;135.775141
Kioto;Raigo-in;;Templos;400 yenes. 9:00 - 17:00;34.9790366;135.7806247
Kioto;Sennyū-ji Temple;;Templos;500 yenes. 9:00 - 16:30;34.9780836;135.7813121
Kioto;Unryu-in;;Templos;400 yenes. 9:00 - 16:30. Miércoles cerrado;34.9484833;135.8226551
Kioto;Sanjusangen-do temple;;Templos;600 yenes. 8:30 - 16:30;35.0007297;135.773822
Kioto;Sannenzaka;;Compras;Calle comercial alrededor del Kiyomizudera;34.9966644;135.781008
Kioto;Starbucks Coffee - Kyoto Nineizaka Yasaka Chaya;;Comida;Starbucks en una casa tradicional;34.9983013;135.7808012
Kioto;Ninenzaka;;Compras;Calle comercial alrededor del Kiyomizudera;34.9981744;135.7808578
Kioto;Philosopher's Path;;Visitas;Paseo del fiósofo (tetsugaku no michi). Entre Ginkaku-ji y Eikan-do;35.0266194;135.795457
Kioto;Candi Eikandō;;Templos;600 yenes. 9:00 - 16:30;35.0148543;135.7941588
Kioto;Nanzen-ji Temple;;Templos;8:40 - 16:30;35.0114138;135.7944841
Kioto;Chion-in Temple;;Templos;9:00 - 16:00;35.0051988;135.7833827
Kioto;Maruyama Park;;Visitas;;35.0035587;135.7805269
Kioto;Jōjakkō-ji;;Templos;9:00 - 16:30. 500 yenes;35.0198102;135.6686405
Kioto;Nison-in Temple;;Templos;9:00 - 16:30. 500 yenes;35.0216591;135.6696366
Kioto;Giōji Temple;;Templos;9:00 - 16:30. 300 yenes;35.0234963;135.6668196
Kioto;Tenryū-ji Temple;;Templos;8:30 - 16:50. 500 yen;35.0158379;135.6737654
Nara;Tōdai-ji;;Templos;1000 yen;34.6889851;135.8398158
Nara;Nara Park;;Visitas;;34.685047;135.843012
Nara;Nigatsu-dō;;Templos;;34.6892747;135.8442433
Nara;Kasuga Taisha;;Templos;templo de los farolillos de bronce. 6:30 - 17:30;34.6815454;135.8484719
